============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run22_multi_weighted_80k.json
Job ID:     163455
Node:       sh20
Extra args: 
Start time: Sun Mar 29 03:45:25 AM CEST 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run22_multi_weighted_80k.json) ==========

Using config file: configs/run22_multi_weighted_80k.json
Run directory: outputs/run_021
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 80000
============================================================
Ep 1225/80000 (1347s) | R: -324.1 | SWAPs: 337 | Gates: 37% | Done: 24% | Loss: 0.009 | Q: -1.7 | ε: 0.935 | Steps: 397144 | ep_time: 1.4s
Ep 1250/80000 (1377s) | R: -344.8 | SWAPs: 356 | Gates: 31% | Done: 16% | Loss: 0.010 | Q: -1.7 | ε: 0.934 | Steps: 406048 | ep_time: 1.3s
Ep 1275/80000 (1404s) | R: -298.1 | SWAPs: 317 | Gates: 44% | Done: 32% | Loss: 0.010 | Q: -1.8 | ε: 0.932 | Steps: 413977 | ep_time: 1.4s
Ep 1300/80000 (1430s) | R: -294.6 | SWAPs: 312 | Gates: 44% | Done: 32% | Loss: 0.011 | Q: -1.8 | ε: 0.931 | Steps: 421785 | ep_time: 1.4s
Ep 1325/80000 (1460s) | R: -343.3 | SWAPs: 353 | Gates: 31% | Done: 16% | Loss: 0.011 | Q: -1.8 | ε: 0.930 | Steps: 430611 | ep_time: 1.3s
Ep 1350/80000 (1482s) | R: -251.2 | SWAPs: 275 | Gates: 55% | Done: 44% | Loss: 0.010 | Q: -1.8 | ε: 0.929 | Steps: 437480 | ep_time: 0.4s
Ep 1375/80000 (1509s) | R: -301.1 | SWAPs: 317 | Gates: 43% | Done: 28% | Loss: 0.011 | Q: -1.8 | ε: 0.927 | Steps: 445414 | ep_time: 1.3s
Ep 1400/80000 (1539s) | R: -340.3 | SWAPs: 353 | Gates: 33% | Done: 16% | Loss: 0.012 | Q: -1.8 | ε: 0.926 | Steps: 454227 | ep_time: 0.4s
Ep 1425/80000 (1566s) | R: -312.4 | SWAPs: 327 | Gates: 39% | Done: 24% | Loss: 0.013 | Q: -1.9 | ε: 0.924 | Steps: 462398 | ep_time: 1.2s
Ep 1450/80000 (1591s) | R: -295.6 | SWAPs: 319 | Gates: 46% | Done: 32% | Loss: 0.011 | Q: -1.9 | ε: 0.923 | Steps: 470370 | ep_time: 1.3s
Ep 1475/80000 (1619s) | R: -315.3 | SWAPs: 330 | Gates: 39% | Done: 24% | Loss: 0.010 | Q: -1.9 | ε: 0.922 | Steps: 478624 | ep_time: 1.4s
Ep 1500/80000 (1637s) | R: -194.5 | SWAPs: 223 | Gates: 69% | Done: 60% | Loss: 0.010 | Q: -1.9 | ε: 0.921 | Steps: 484202 | ep_time: 0.1s
Ep 1525/80000 (1665s) | R: -318.9 | SWAPs: 335 | Gates: 39% | Done: 24% | Loss: 0.010 | Q: -1.9 | ε: 0.920 | Steps: 492569 | ep_time: 1.3s
