============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run18_multi_bignet_weighted.json
Job ID:     163144
Node:       sh21
Extra args: 
Start time: Sat Mar 28 06:45:39 PM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run18_multi_bignet_weighted.json) ==========

Using config file: configs/run18_multi_bignet_weighted.json
Run directory: outputs/run_018
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 47,938,133
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 60000
============================================================
Ep 1225/60000 (2158s) | R: -297.3 | SWAPs: 314 | Gates: 44% | Done: 32% | Loss: 0.006 | Q: -1.4 | ε: 0.929 | Steps: 362224 | ep_time: 2.4s
Ep 1250/60000 (2196s) | R: -231.4 | SWAPs: 257 | Gates: 58% | Done: 48% | Loss: 0.005 | Q: -1.4 | ε: 0.928 | Steps: 368639 | ep_time: 2.4s
Ep 1275/60000 (2238s) | R: -266.4 | SWAPs: 286 | Gates: 51% | Done: 40% | Loss: 0.005 | Q: -1.4 | ε: 0.926 | Steps: 375794 | ep_time: 2.4s
Ep 1300/60000 (2282s) | R: -274.0 | SWAPs: 296 | Gates: 48% | Done: 36% | Loss: 0.005 | Q: -1.4 | ε: 0.925 | Steps: 383200 | ep_time: 2.4s
Ep 1325/60000 (2330s) | R: -304.0 | SWAPs: 320 | Gates: 42% | Done: 28% | Loss: 0.006 | Q: -1.5 | ε: 0.923 | Steps: 391199 | ep_time: 2.4s
Ep 1350/60000 (2376s) | R: -292.9 | SWAPs: 310 | Gates: 45% | Done: 32% | Loss: 0.004 | Q: -1.4 | ε: 0.922 | Steps: 398949 | ep_time: 2.4s
Ep 1375/60000 (2412s) | R: -212.9 | SWAPs: 242 | Gates: 64% | Done: 56% | Loss: 0.006 | Q: -1.5 | ε: 0.921 | Steps: 405011 | ep_time: 2.4s
Ep 1400/60000 (2458s) | R: -291.1 | SWAPs: 310 | Gates: 46% | Done: 32% | Loss: 0.007 | Q: -1.5 | ε: 0.919 | Steps: 412764 | ep_time: 0.9s
Ep 1425/60000 (2501s) | R: -274.2 | SWAPs: 291 | Gates: 48% | Done: 36% | Loss: 0.005 | Q: -1.5 | ε: 0.918 | Steps: 420039 | ep_time: 2.4s
Ep 1450/60000 (2543s) | R: -268.5 | SWAPs: 284 | Gates: 48% | Done: 36% | Loss: 0.005 | Q: -1.5 | ε: 0.916 | Steps: 427137 | ep_time: 0.4s
Ep 1475/60000 (2571s) | R: -153.6 | SWAPs: 189 | Gates: 77% | Done: 72% | Loss: 0.005 | Q: -1.5 | ε: 0.915 | Steps: 431864 | ep_time: 2.4s
Ep 1500/60000 (2613s) | R: -261.8 | SWAPs: 284 | Gates: 52% | Done: 40% | Loss: 0.005 | Q: -1.5 | ε: 0.914 | Steps: 438975 | ep_time: 2.4s
Ep 1525/60000 (2659s) | R: -301.2 | SWAPs: 318 | Gates: 42% | Done: 28% | Loss: 0.007 | Q: -1.5 | ε: 0.912 | Steps: 446926 | ep_time: 2.3s
Ep 1550/60000 (2702s) | R: -279.5 | SWAPs: 298 | Gates: 49% | Done: 36% | Loss: 0.004 | Q: -1.6 | ε: 0.911 | Steps: 454369 | ep_time: 2.3s
Ep 1575/60000 (2742s) | R: -249.4 | SWAPs: 276 | Gates: 56% | Done: 44% | Loss: 0.006 | Q: -1.5 | ε: 0.910 | Steps: 461264 | ep_time: 0.3s
Ep 1600/60000 (2785s) | R: -287.0 | SWAPs: 305 | Gates: 46% | Done: 32% | Loss: 0.004 | Q: -1.6 | ε: 0.908 | Steps: 468877 | ep_time: 0.3s
Ep 1625/60000 (2822s) | R: -232.2 | SWAPs: 258 | Gates: 60% | Done: 48% | Loss: 0.005 | Q: -1.5 | ε: 0.907 | Steps: 475338 | ep_time: 0.3s
Ep 1650/60000 (2859s) | R: -231.8 | SWAPs: 256 | Gates: 59% | Done: 48% | Loss: 0.006 | Q: -1.5 | ε: 0.906 | Steps: 481730 | ep_time: 2.3s
Ep 1675/60000 (2907s) | R: -314.8 | SWAPs: 332 | Gates: 41% | Done: 24% | Loss: 0.005 | Q: -1.6 | ε: 0.904 | Steps: 490036 | ep_time: 2.3s
Ep 1700/60000 (2952s) | R: -285.7 | SWAPs: 306 | Gates: 45% | Done: 32% | Loss: 0.005 | Q: -1.6 | ε: 0.902 | Steps: 497687 | ep_time: 2.4s
Ep 1725/60000 (2999s) | R: -297.3 | SWAPs: 317 | Gates: 44% | Done: 28% | Loss: 0.006 | Q: -1.6 | ε: 0.901 | Steps: 505620 | ep_time: 2.4s
Ep 1750/60000 (3041s) | R: -263.6 | SWAPs: 288 | Gates: 54% | Done: 40% | Loss: 0.006 | Q: -1.7 | ε: 0.899 | Steps: 512816 | ep_time: 2.4s
Ep 1775/60000 (3091s) | R: -313.8 | SWAPs: 332 | Gates: 41% | Done: 24% | Loss: 0.005 | Q: -1.6 | ε: 0.898 | Steps: 521106 | ep_time: 0.5s
Ep 1800/60000 (3136s) | R: -282.3 | SWAPs: 304 | Gates: 48% | Done: 32% | Loss: 0.005 | Q: -1.7 | ε: 0.896 | Steps: 528709 | ep_time: 2.4s
Ep 1825/60000 (3183s) | R: -298.9 | SWAPs: 318 | Gates: 44% | Done: 28% | Loss: 0.005 | Q: -1.7 | ε: 0.895 | Steps: 536655 | ep_time: 2.4s
Ep 1850/60000 (3231s) | R: -308.8 | SWAPs: 324 | Gates: 40% | Done: 24% | Loss: 0.005 | Q: -1.7 | ε: 0.893 | Steps: 544745 | ep_time: 2.4s
Ep 1875/60000 (3278s) | R: -294.6 | SWAPs: 314 | Gates: 44% | Done: 28% | Loss: 0.006 | Q: -1.7 | ε: 0.892 | Steps: 552596 | ep_time: 2.4s
Ep 1900/60000 (3320s) | R: -263.8 | SWAPs: 282 | Gates: 50% | Done: 36% | Loss: 0.006 | Q: -1.7 | ε: 0.890 | Steps: 559657 | ep_time: 2.4s
Ep 1925/60000 (3362s) | R: -264.0 | SWAPs: 283 | Gates: 50% | Done: 36% | Loss: 0.006 | Q: -1.7 | ε: 0.889 | Steps: 566727 | ep_time: 0.4s
Ep 1950/60000 (3395s) | R: -190.6 | SWAPs: 224 | Gates: 69% | Done: 60% | Loss: 0.005 | Q: -1.7 | ε: 0.888 | Steps: 572338 | ep_time: 0.6s
Ep 1975/60000 (3439s) | R: -270.7 | SWAPs: 293 | Gates: 50% | Done: 36% | Loss: 0.006 | Q: -1.7 | ε: 0.886 | Steps: 579652 | ep_time: 2.4s
Ep 2000/60000 (3479s) | R: -249.1 | SWAPs: 277 | Gates: 56% | Done: 44% | Loss: 0.006 | Q: -1.7 | ε: 0.885 | Steps: 586565 | ep_time: 2.4s

--- Evaluation at episode 2000 ---
  EVAL | Agent: 153.6 SABRE: 76.2 | Ratio: 1.21 | Done: 66%
Saved: outputs/run_018/figures/training_curves.png
Saved: outputs/run_018/figures/eval_comparison_ep2000.png
  Saved checkpoint: outputs/run_018/checkpoints/checkpoint_ep2000.pt
Ep 2025/60000 (3560s) | R: -268.6 | SWAPs: 294 | Gates: 50% | Done: 36% | Loss: 0.005 | Q: -1.8 | ε: 0.884 | Steps: 593911 | ep_time: 2.4s
Ep 2050/60000 (3598s) | R: -227.7 | SWAPs: 253 | Gates: 59% | Done: 48% | Loss: 0.004 | Q: -1.7 | ε: 0.882 | Steps: 600235 | ep_time: 2.4s
Ep 2075/60000 (3643s) | R: -286.3 | SWAPs: 306 | Gates: 46% | Done: 32% | Loss: 0.005 | Q: -1.8 | ε: 0.881 | Steps: 607894 | ep_time: 0.8s
Ep 2100/60000 (3692s) | R: -309.8 | SWAPs: 328 | Gates: 42% | Done: 24% | Loss: 0.005 | Q: -1.8 | ε: 0.879 | Steps: 616095 | ep_time: 2.4s
Ep 2125/60000 (3735s) | R: -266.2 | SWAPs: 289 | Gates: 51% | Done: 36% | Loss: 0.005 | Q: -1.9 | ε: 0.878 | Steps: 623310 | ep_time: 2.4s
Ep 2150/60000 (3776s) | R: -241.1 | SWAPs: 271 | Gates: 59% | Done: 44% | Loss: 0.006 | Q: -1.8 | ε: 0.877 | Steps: 630082 | ep_time: 0.7s
Ep 2175/60000 (3821s) | R: -282.8 | SWAPs: 303 | Gates: 47% | Done: 32% | Loss: 0.006 | Q: -1.9 | ε: 0.875 | Steps: 637651 | ep_time: 2.4s
Ep 2200/60000 (3867s) | R: -287.4 | SWAPs: 310 | Gates: 48% | Done: 32% | Loss: 0.006 | Q: -1.9 | ε: 0.873 | Steps: 645411 | ep_time: 2.4s
Ep 2225/60000 (3900s) | R: -199.5 | SWAPs: 228 | Gates: 67% | Done: 56% | Loss: 0.006 | Q: -1.9 | ε: 0.872 | Steps: 651120 | ep_time: 0.5s
Ep 2250/60000 (3946s) | R: -283.9 | SWAPs: 307 | Gates: 48% | Done: 32% | Loss: 0.006 | Q: -2.0 | ε: 0.871 | Steps: 658784 | ep_time: 2.4s
Ep 2275/60000 (3989s) | R: -264.8 | SWAPs: 290 | Gates: 51% | Done: 36% | Loss: 0.006 | Q: -1.9 | ε: 0.869 | Steps: 666043 | ep_time: 2.4s
Ep 2300/60000 (4035s) | R: -290.0 | SWAPs: 309 | Gates: 45% | Done: 28% | Loss: 0.006 | Q: -2.0 | ε: 0.868 | Steps: 673756 | ep_time: 2.4s
Ep 2325/60000 (4078s) | R: -265.0 | SWAPs: 289 | Gates: 51% | Done: 36% | Loss: 0.006 | Q: -2.0 | ε: 0.867 | Steps: 680969 | ep_time: 2.3s
Ep 2350/60000 (4120s) | R: -264.1 | SWAPs: 290 | Gates: 52% | Done: 36% | Loss: 0.006 | Q: -2.0 | ε: 0.865 | Steps: 688218 | ep_time: 2.3s
Ep 2375/60000 (4152s) | R: -193.6 | SWAPs: 221 | Gates: 67% | Done: 56% | Loss: 0.005 | Q: -2.0 | ε: 0.864 | Steps: 693737 | ep_time: 2.3s
Ep 2400/60000 (4192s) | R: -249.8 | SWAPs: 276 | Gates: 55% | Done: 40% | Loss: 0.007 | Q: -2.0 | ε: 0.863 | Steps: 700642 | ep_time: 2.4s
Ep 2425/60000 (4231s) | R: -231.2 | SWAPs: 260 | Gates: 60% | Done: 48% | Loss: 0.005 | Q: -2.0 | ε: 0.861 | Steps: 707151 | ep_time: 2.4s
Ep 2450/60000 (4280s) | R: -312.7 | SWAPs: 330 | Gates: 41% | Done: 24% | Loss: 0.006 | Q: -2.1 | ε: 0.860 | Steps: 715409 | ep_time: 2.4s
Ep 2475/60000 (4311s) | R: -173.7 | SWAPs: 207 | Gates: 73% | Done: 64% | Loss: 0.006 | Q: -2.0 | ε: 0.859 | Steps: 720588 | ep_time: 0.8s
Ep 2500/60000 (4352s) | R: -257.3 | SWAPs: 285 | Gates: 55% | Done: 40% | Loss: 0.007 | Q: -2.1 | ε: 0.857 | Steps: 727707 | ep_time: 0.6s
Ep 2525/60000 (4394s) | R: -258.7 | SWAPs: 282 | Gates: 53% | Done: 40% | Loss: 0.005 | Q: -2.1 | ε: 0.856 | Steps: 734757 | ep_time: 2.4s
Ep 2550/60000 (4435s) | R: -243.6 | SWAPs: 273 | Gates: 58% | Done: 44% | Loss: 0.008 | Q: -2.1 | ε: 0.855 | Steps: 741570 | ep_time: 2.4s
Ep 2575/60000 (4483s) | R: -305.7 | SWAPs: 326 | Gates: 43% | Done: 24% | Loss: 0.006 | Q: -2.1 | ε: 0.853 | Steps: 749714 | ep_time: 0.2s
Ep 2600/60000 (4525s) | R: -250.4 | SWAPs: 277 | Gates: 54% | Done: 40% | Loss: 0.005 | Q: -2.0 | ε: 0.852 | Steps: 756647 | ep_time: 2.4s
Ep 2625/60000 (4573s) | R: -302.4 | SWAPs: 325 | Gates: 45% | Done: 24% | Loss: 0.005 | Q: -2.1 | ε: 0.850 | Steps: 764765 | ep_time: 0.3s
Ep 2650/60000 (4612s) | R: -229.5 | SWAPs: 262 | Gates: 61% | Done: 48% | Loss: 0.006 | Q: -2.1 | ε: 0.849 | Steps: 771317 | ep_time: 2.4s
Ep 2675/60000 (4651s) | R: -232.8 | SWAPs: 258 | Gates: 58% | Done: 44% | Loss: 0.007 | Q: -2.1 | ε: 0.848 | Steps: 777770 | ep_time: 2.4s
Ep 2700/60000 (4693s) | R: -251.7 | SWAPs: 283 | Gates: 56% | Done: 40% | Loss: 0.006 | Q: -2.1 | ε: 0.846 | Steps: 784840 | ep_time: 0.6s
Ep 2725/60000 (4734s) | R: -251.3 | SWAPs: 275 | Gates: 54% | Done: 40% | Loss: 0.007 | Q: -2.1 | ε: 0.845 | Steps: 791718 | ep_time: 2.4s
Ep 2750/60000 (4766s) | R: -177.9 | SWAPs: 213 | Gates: 70% | Done: 60% | Loss: 0.005 | Q: -2.0 | ε: 0.844 | Steps: 797031 | ep_time: 0.6s
Ep 2775/60000 (4808s) | R: -261.0 | SWAPs: 285 | Gates: 52% | Done: 36% | Loss: 0.006 | Q: -2.1 | ε: 0.842 | Steps: 804155 | ep_time: 0.7s
Ep 2800/60000 (4848s) | R: -239.5 | SWAPs: 270 | Gates: 59% | Done: 44% | Loss: 0.007 | Q: -2.1 | ε: 0.841 | Steps: 810902 | ep_time: 2.4s
Ep 2825/60000 (4890s) | R: -262.9 | SWAPs: 282 | Gates: 51% | Done: 36% | Loss: 0.005 | Q: -2.1 | ε: 0.840 | Steps: 817943 | ep_time: 0.5s
Ep 2850/60000 (4928s) | R: -224.2 | SWAPs: 255 | Gates: 60% | Done: 48% | Loss: 0.005 | Q: -2.1 | ε: 0.838 | Steps: 824318 | ep_time: 0.7s
Ep 2875/60000 (4963s) | R: -202.6 | SWAPs: 232 | Gates: 65% | Done: 52% | Loss: 0.008 | Q: -2.1 | ε: 0.837 | Steps: 830115 | ep_time: 2.4s
Ep 2900/60000 (5002s) | R: -233.8 | SWAPs: 263 | Gates: 60% | Done: 44% | Loss: 0.007 | Q: -2.1 | ε: 0.836 | Steps: 836701 | ep_time: 2.4s
Ep 2925/60000 (5038s) | R: -216.1 | SWAPs: 245 | Gates: 62% | Done: 48% | Loss: 0.005 | Q: -2.1 | ε: 0.835 | Steps: 842818 | ep_time: 0.2s
Ep 2950/60000 (5081s) | R: -259.9 | SWAPs: 285 | Gates: 52% | Done: 36% | Loss: 0.006 | Q: -2.1 | ε: 0.833 | Steps: 849945 | ep_time: 2.4s
Ep 2975/60000 (5119s) | R: -230.1 | SWAPs: 254 | Gates: 58% | Done: 44% | Loss: 0.007 | Q: -2.1 | ε: 0.832 | Steps: 856307 | ep_time: 2.4s
Ep 3000/60000 (5158s) | R: -235.7 | SWAPs: 265 | Gates: 59% | Done: 44% | Loss: 0.006 | Q: -2.1 | ε: 0.831 | Steps: 862937 | ep_time: 0.8s

--- Evaluation at episode 3000 ---
  EVAL | Agent: 149.2 SABRE: 77.2 | Ratio: 1.09 | Done: 67%
Saved: outputs/run_018/figures/training_curves.png
Saved: outputs/run_018/figures/eval_comparison_ep3000.png
Ep 3025/60000 (5232s) | R: -248.9 | SWAPs: 274 | Gates: 56% | Done: 40% | Loss: 0.005 | Q: -2.1 | ε: 0.830 | Steps: 869781 | ep_time: 2.4s
Ep 3050/60000 (5281s) | R: -302.3 | SWAPs: 326 | Gates: 44% | Done: 24% | Loss: 0.006 | Q: -2.1 | ε: 0.828 | Steps: 877942 | ep_time: 2.4s
Ep 3075/60000 (5317s) | R: -215.7 | SWAPs: 245 | Gates: 61% | Done: 48% | Loss: 0.006 | Q: -2.1 | ε: 0.827 | Steps: 884055 | ep_time: 2.4s
Ep 3100/60000 (5356s) | R: -232.9 | SWAPs: 261 | Gates: 58% | Done: 44% | Loss: 0.005 | Q: -2.1 | ε: 0.825 | Steps: 890585 | ep_time: 2.4s
Ep 3125/60000 (5401s) | R: -273.9 | SWAPs: 301 | Gates: 50% | Done: 32% | Loss: 0.006 | Q: -2.1 | ε: 0.824 | Steps: 898102 | ep_time: 2.4s
Ep 3150/60000 (5442s) | R: -247.3 | SWAPs: 275 | Gates: 55% | Done: 40% | Loss: 0.007 | Q: -2.2 | ε: 0.823 | Steps: 904966 | ep_time: 0.3s
