============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run4_multi_fixed.json
Job ID:     162434
Node:       sh06
Extra args: 
Start time: Fri Mar 27 09:51:33 PM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run4_multi_fixed.json) ==========

Using config file: configs/run4_multi_fixed.json
Run directory: outputs/run_013
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 45000
============================================================
Ep 2775/45000 (1904s) | R: -202.5 | SWAPs: 232 | Gates: 66% | Done: 56% | Loss: 0.007 | Q: -1.6 | ε: 0.885 | Steps: 575838 | ep_time: 1.3s
Ep 2800/45000 (1920s) | R: -157.3 | SWAPs: 188 | Gates: 74% | Done: 68% | Loss: 0.008 | Q: -1.6 | ε: 0.884 | Steps: 580537 | ep_time: 0.3s
Ep 2825/45000 (1933s) | R: -138.1 | SWAPs: 170 | Gates: 82% | Done: 76% | Loss: 0.008 | Q: -1.6 | ε: 0.883 | Steps: 584793 | ep_time: 0.4s
Ep 2850/45000 (1950s) | R: -165.1 | SWAPs: 202 | Gates: 75% | Done: 68% | Loss: 0.007 | Q: -1.6 | ε: 0.882 | Steps: 589848 | ep_time: 1.3s
Ep 2875/45000 (1965s) | R: -159.4 | SWAPs: 184 | Gates: 75% | Done: 68% | Loss: 0.008 | Q: -1.6 | ε: 0.881 | Steps: 594443 | ep_time: 0.3s
Ep 2900/45000 (1977s) | R: -125.5 | SWAPs: 157 | Gates: 82% | Done: 76% | Loss: 0.006 | Q: -1.6 | ε: 0.880 | Steps: 598364 | ep_time: 1.3s
Ep 2925/45000 (1993s) | R: -153.6 | SWAPs: 186 | Gates: 76% | Done: 68% | Loss: 0.007 | Q: -1.6 | ε: 0.879 | Steps: 603025 | ep_time: 0.4s
Ep 2950/45000 (2013s) | R: -216.3 | SWAPs: 246 | Gates: 63% | Done: 52% | Loss: 0.007 | Q: -1.7 | ε: 0.878 | Steps: 609176 | ep_time: 0.3s
Ep 2975/45000 (2028s) | R: -153.5 | SWAPs: 184 | Gates: 75% | Done: 68% | Loss: 0.008 | Q: -1.7 | ε: 0.877 | Steps: 613775 | ep_time: 1.4s
Ep 3000/45000 (2045s) | R: -192.5 | SWAPs: 215 | Gates: 66% | Done: 56% | Loss: 0.007 | Q: -1.7 | ε: 0.876 | Steps: 619157 | ep_time: 1.2s

--- Evaluation at episode 3000 ---
  EVAL | Agent: 149.6 SABRE: 76.5 | Ratio: 1.14 | Done: 67%
Saved: outputs/run_013/figures/training_curves.png
Saved: outputs/run_013/figures/eval_comparison_ep3000.png
Ep 3025/45000 (2095s) | R: -177.2 | SWAPs: 208 | Gates: 70% | Done: 60% | Loss: 0.007 | Q: -1.7 | ε: 0.875 | Steps: 624358 | ep_time: 0.3s
Ep 3050/45000 (2109s) | R: -133.0 | SWAPs: 171 | Gates: 81% | Done: 76% | Loss: 0.006 | Q: -1.6 | ε: 0.874 | Steps: 628629 | ep_time: 0.3s
Ep 3075/45000 (2128s) | R: -200.4 | SWAPs: 228 | Gates: 66% | Done: 56% | Loss: 0.008 | Q: -1.7 | ε: 0.873 | Steps: 634330 | ep_time: 0.1s
Ep 3100/45000 (2144s) | R: -171.5 | SWAPs: 201 | Gates: 72% | Done: 64% | Loss: 0.008 | Q: -1.7 | ε: 0.872 | Steps: 639359 | ep_time: 0.3s
Ep 3125/45000 (2158s) | R: -131.7 | SWAPs: 162 | Gates: 81% | Done: 76% | Loss: 0.007 | Q: -1.7 | ε: 0.871 | Steps: 643411 | ep_time: 0.4s
Ep 3150/45000 (2173s) | R: -161.3 | SWAPs: 195 | Gates: 76% | Done: 68% | Loss: 0.006 | Q: -1.7 | ε: 0.870 | Steps: 648293 | ep_time: 1.4s
