============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run16_multi_low_eps.json
Job ID:     162869
Node:       sh03
Extra args: 
Start time: Sat Mar 28 09:45:18 AM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run16_multi_low_eps.json) ==========

Using config file: configs/run16_multi_low_eps.json
Run directory: outputs/run_016
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 45000
============================================================
Ep 2000/45000 (1361s) | R: -189.4 | SWAPs: 220 | Gates: 69% | Done: 60% | Loss: 0.008 | Q: -1.4 | ε: 0.909 | Steps: 417215 | ep_time: 0.5s

--- Evaluation at episode 2000 ---
  EVAL | Agent: 165.9 SABRE: 76.0 | Ratio: 1.54 | Done: 64%
Saved: outputs/run_016/figures/training_curves.png
Saved: outputs/run_016/figures/eval_comparison_ep2000.png
  Saved checkpoint: outputs/run_016/checkpoints/checkpoint_ep2000.pt
Ep 2025/45000 (1413s) | R: -165.8 | SWAPs: 201 | Gates: 75% | Done: 68% | Loss: 0.008 | Q: -1.3 | ε: 0.908 | Steps: 422242 | ep_time: 1.3s
Ep 2050/45000 (1429s) | R: -169.6 | SWAPs: 204 | Gates: 74% | Done: 68% | Loss: 0.009 | Q: -1.3 | ε: 0.907 | Steps: 427345 | ep_time: 0.3s
Ep 2075/45000 (1446s) | R: -185.1 | SWAPs: 212 | Gates: 68% | Done: 60% | Loss: 0.008 | Q: -1.3 | ε: 0.906 | Steps: 432643 | ep_time: 0.3s
Ep 2100/45000 (1465s) | R: -207.8 | SWAPs: 236 | Gates: 65% | Done: 56% | Loss: 0.007 | Q: -1.4 | ε: 0.904 | Steps: 438540 | ep_time: 0.2s
Ep 2125/45000 (1481s) | R: -166.7 | SWAPs: 198 | Gates: 74% | Done: 68% | Loss: 0.008 | Q: -1.4 | ε: 0.903 | Steps: 443497 | ep_time: 0.3s
Ep 2150/45000 (1501s) | R: -208.1 | SWAPs: 237 | Gates: 65% | Done: 56% | Loss: 0.007 | Q: -1.4 | ε: 0.902 | Steps: 449415 | ep_time: 0.3s
Ep 2175/45000 (1521s) | R: -221.8 | SWAPs: 247 | Gates: 62% | Done: 52% | Loss: 0.008 | Q: -1.4 | ε: 0.901 | Steps: 455595 | ep_time: 0.2s
Ep 2200/45000 (1538s) | R: -169.7 | SWAPs: 204 | Gates: 75% | Done: 68% | Loss: 0.008 | Q: -1.4 | ε: 0.900 | Steps: 460702 | ep_time: 0.4s
Ep 2225/45000 (1549s) | R: -113.2 | SWAPs: 148 | Gates: 87% | Done: 84% | Loss: 0.006 | Q: -1.4 | ε: 0.899 | Steps: 464401 | ep_time: 1.3s
Ep 2250/45000 (1568s) | R: -202.8 | SWAPs: 228 | Gates: 65% | Done: 56% | Loss: 0.008 | Q: -1.4 | ε: 0.898 | Steps: 470092 | ep_time: 1.4s
Ep 2275/45000 (1582s) | R: -138.1 | SWAPs: 171 | Gates: 81% | Done: 76% | Loss: 0.009 | Q: -1.4 | ε: 0.897 | Steps: 474375 | ep_time: 0.4s
Ep 2300/45000 (1597s) | R: -159.2 | SWAPs: 190 | Gates: 75% | Done: 68% | Loss: 0.007 | Q: -1.4 | ε: 0.896 | Steps: 479114 | ep_time: 1.3s
Ep 2325/45000 (1613s) | R: -162.1 | SWAPs: 195 | Gates: 75% | Done: 68% | Loss: 0.007 | Q: -1.4 | ε: 0.895 | Steps: 483985 | ep_time: 0.4s
Ep 2350/45000 (1629s) | R: -156.3 | SWAPs: 190 | Gates: 76% | Done: 68% | Loss: 0.008 | Q: -1.4 | ε: 0.894 | Steps: 488741 | ep_time: 1.3s
Ep 2375/45000 (1642s) | R: -129.8 | SWAPs: 168 | Gates: 84% | Done: 80% | Loss: 0.008 | Q: -1.4 | ε: 0.893 | Steps: 492950 | ep_time: 0.4s
Ep 2400/45000 (1655s) | R: -123.1 | SWAPs: 161 | Gates: 84% | Done: 80% | Loss: 0.008 | Q: -1.4 | ε: 0.892 | Steps: 496977 | ep_time: 0.2s
Ep 2425/45000 (1670s) | R: -158.7 | SWAPs: 190 | Gates: 75% | Done: 68% | Loss: 0.008 | Q: -1.4 | ε: 0.891 | Steps: 501724 | ep_time: 0.2s
Ep 2450/45000 (1686s) | R: -160.8 | SWAPs: 193 | Gates: 75% | Done: 68% | Loss: 0.008 | Q: -1.4 | ε: 0.890 | Steps: 506548 | ep_time: 0.5s
Ep 2475/45000 (1700s) | R: -134.7 | SWAPs: 171 | Gates: 81% | Done: 76% | Loss: 0.009 | Q: -1.5 | ε: 0.889 | Steps: 510834 | ep_time: 0.3s
Ep 2500/45000 (1717s) | R: -186.4 | SWAPs: 213 | Gates: 68% | Done: 60% | Loss: 0.008 | Q: -1.5 | ε: 0.888 | Steps: 516161 | ep_time: 0.2s
Ep 2525/45000 (1737s) | R: -206.9 | SWAPs: 232 | Gates: 65% | Done: 56% | Loss: 0.008 | Q: -1.5 | ε: 0.886 | Steps: 521968 | ep_time: 0.2s
Ep 2550/45000 (1751s) | R: -145.4 | SWAPs: 182 | Gates: 78% | Done: 72% | Loss: 0.008 | Q: -1.5 | ε: 0.885 | Steps: 526530 | ep_time: 0.4s
Ep 2575/45000 (1771s) | R: -213.5 | SWAPs: 242 | Gates: 63% | Done: 52% | Loss: 0.008 | Q: -1.6 | ε: 0.884 | Steps: 532570 | ep_time: 0.1s
Ep 2600/45000 (1787s) | R: -157.9 | SWAPs: 193 | Gates: 78% | Done: 72% | Loss: 0.008 | Q: -1.5 | ε: 0.883 | Steps: 537396 | ep_time: 0.1s
Ep 2625/45000 (1805s) | R: -187.6 | SWAPs: 219 | Gates: 69% | Done: 60% | Loss: 0.007 | Q: -1.5 | ε: 0.882 | Steps: 542882 | ep_time: 0.3s
Ep 2650/45000 (1821s) | R: -166.6 | SWAPs: 199 | Gates: 73% | Done: 64% | Loss: 0.007 | Q: -1.5 | ε: 0.881 | Steps: 547854 | ep_time: 1.4s
